admin1,admin2,location_name,latitude,longitude,risk_score,expected_fatalities
Nakuru,Rongai,Kiamunyi,-0.2694,36.0312,19.6,123
Meru,Tigania West,Kandebene,0.3075,37.6573,19.6,123
Nakuru,Nakuru East,Bondeni,-0.3072,36.0723,19.6,123
Nyandarua,Olkalou,Ol Kalou,-0.2709,36.3792,18.8,118
Uasin Gishu,Ainabkoi,Tendwa,0.4821,35.4458,18.3,115
Bungoma,Kabuchai,Kanduyi,0.75,34.5833,17.2,108
Kakamega,Likuyani,Turbo,0.6432,35.049,16.4,103
Uasin Gishu,Turbo,Turbo,0.6295,35.0483,16.4,103
Bungoma,Kimilili,Kimilili,0.783,34.7193,16.2,102
Uasin Gishu,Moiben,Eldoret,0.5167,35.2833,15.9,100
Uasin Gishu,Kapseret,Simat,0.5422,35.1837,15.9,100
Nandi,Mosop,Kabiyet,0.4,35.0833,15.9,100
Mandera,Mandera West,Takaba,3.3553,40.2228,15.3,96
Bungoma,Kanduyi,Bungoma,0.5635,34.5606,14.5,91
Kakamega,Mumias West,Mumias,0.3351,34.4864,14.0,88
Kakamega,Mumias East,Shianda,0.3198,34.576,13.9,87
Bungoma,Webuye East,Maraka,0.5885,34.7419,13.4,84
Bungoma,Webuye West,Webuye,0.6167,34.7667,13.4,84
Kakamega,Navakholo,Esumeyia,0.3188,34.6815,13.2,83
Muranga,Kigumo,Kigumo,-0.8167,36.9833,12.1,76
Garissa,Garissa,Garissa,-0.4536,39.6461,11.9,75
Migori,Kuria East,Nyaitara,-1.2078,34.6393,11.1,70
Bungoma,Bumula,Kibachenje,0.5202,34.5,11.0,69
Muranga,Mathioya,Kiriaini,-0.6,36.95,10.8,68
Migori,Uriri,Uriri,-0.9689,34.5083,10.5,66
Nyeri,Nyeri South,Othaya,-0.5666,36.95,10.5,66
Garissa,Hulugho,Boni Forest,-1.5394,41.3314,10.5,66
Meru,Buuri,Ruiri,0.1481,37.6271,10.4,65
West Pokot,West Pokot,Makutano,1.2577,35.0927,10.4,65
Muranga,Kandara,Nguruaini,-0.88,37.07,10.2,64
Migori,Suna East,Kakrao,-1.0333,34.4833,10.0,63
Nyeri,Mathira East,Karatina,-0.4817,37.1251,10.0,63
Muranga,Kangema,Nyangiti,-0.6833,37.05,10.0,63
Nyeri,Mukurweini,Mukurwe-ini,-0.5609,37.0476,10.0,63
Bungoma,Cheptais,Cheptais,0.8099,34.4564,10.0,63
Trans Nzoia,Kiminini,Kiminini,0.8931,34.9241,9.9,62
Trans Nzoia,Saboti,Kitale,1.0167,35.0,9.9,62
Baringo,Baringo Central,Kabarnet,0.4919,35.743,9.7,61
Muranga,Muranga South,Kiamutugu,-0.8167,37.1,9.7,61
Turkana,Turkana North,Loarengak,4.274,35.8994,9.7,61
Migori,Kuria West,Isebania,-1.2167,34.4667,9.6,60
Migori,Suna West,Migori,-1.0667,34.4667,9.6,60
Samburu,Samburu Central,Lkuroto,1.0745,36.7021,9.4,59
Muranga,Gatanga,Gatanga,-0.9333,36.9667,9.4,59
Kisii,Nyaribari Masaba,Keroka,-0.7833,34.95,9.4,59
Migori,Awendo,Awendo,-0.9,34.5333,9.4,59
Muranga,Kiharu,Muranga,-0.7166,37.15,9.2,58
Kirinyaga,Kirinyaga Central,Kerugoya,-0.4989,37.2803,9.2,58
Kisii,Bomachoge Chache,Ogembo,-0.8,34.7167,9.2,58
Kirinyaga,Kirinyaga South,Kutus,-0.5753,37.3269,9.1,57
Kirinyaga,Kirinyaga West,Kagio,-0.6166,37.25,9.1,57
Kiambu,Thika Town,Thika,-1.05,37.0833,9.1,57
Kisii,Bobasi,Bobasi,-0.8333,34.8,9.1,57
Kisii,Bomachoge Borabu,Kenyenya,-0.8976,34.7434,8.9,56
Kirinyaga,Kirinyaga North,Kangure,-0.6153,37.3174,8.9,56
Bungoma,Mt Elgon,Kapsokwony,0.8522,34.7019,8.8,55
Elgeyo Marakwet,Keiyo South,Kaptarkok,0.44,35.56,8.8,55
Baringo,Marigat,Chemoe,0.3167,35.8833,8.4,53
Meru,Tigania East,Kiguchwa,0.15,37.85,8.4,53
Kisii,Kitutu Chache South,Raganga,-0.6052,34.71,8.4,53
Trans Nzoia,Cherangany,Cherangani,0.9833,35.2167,8.3,52
Nakuru,Kuresoi North,Kuresoi,-0.3012,35.5321,8.3,52
Kakamega,Butere,Butere,0.2064,34.4935,8.1,51
Kisii,Nyaribari Chache,Keumbu,-0.7333,34.85,8.0,50
Kisii,Bonchari,Nyamokenye,-0.6684,34.7361,7.6,48
Kisii,Kitutu Chache North,Marani,-0.5812,34.8003,7.5,47
Nyamira,Manga,Kitutu Chache,-0.6333,34.8333,7.5,47
Narok,Transmara East,Pimbinyiet,-0.9543,35.0452,7.3,46
Kiambu,Gatundu North,Makohokoho,-0.9118,36.7887,7.3,46
Baringo,Tiaty,Tiati,1.2972,35.9336,7.3,46
Migori,Rongo,Rongo,-0.7667,34.6,7.3,46
Narok,Transmara West,Kilgoris,-1.0077,34.8806,7.2,45
Busia,Teso North,Kakurikit,0.7167,34.35,7.0,44
Bungoma,Tongaren,Ndalu,0.8638,34.9863,6.8,43
Elgeyo Marakwet,Marakwet East,Endo,1.2667,35.6167,6.8,43
Kisii,South Mugirango,Ikoba,-0.7666,34.6833,6.8,43
Uasin Gishu,Soy,Moi's Bridge,0.877,35.1206,6.7,42
Kericho,Kipkelion East,Londiani,-0.1667,35.6,6.7,42
Homa Bay,Kasipul,Oyugis,-0.509,34.7358,6.7,42
Trans Nzoia,Kwanza,Kwanza,1.1684,34.9926,6.7,42
Kiambu,Lari,Lari,-1.0167,36.6333,6.7,42
Kakamega,Khwisero,Khwisero,0.1672,34.5996,6.7,42
Kakamega,Lugari,Lugari,0.6475,34.8775,6.5,41
Meru,Igembe Central,Muringene,0.2857,37.9213,6.5,41
Mandera,Banissa,Banissa,3.9439,40.3445,6.5,41
Nyamira,Borabu,Borabu,-0.75,35.0,6.5,41
Nakuru,Kuresoi South,Keringet,-0.4666,35.6833,6.5,41
Elgeyo Marakwet,Marakwet West,Kapsowar,0.9805,35.5575,6.4,40
Laikipia,Laikipia North,Mukogodo,0.4833,36.9333,6.4,40
Meru,Igembe South,Maua,0.2321,37.9405,6.4,40
Kakamega,Ikolomani,Shamusinjiri,0.2244,34.7131,6.4,40
Marsabit,Saku,Marsabit,2.333,37.983,6.2,39
Kwale,Kinango,Mariakani,-3.8667,39.4667,5.9,37
Kakamega,Lurambi,Kakamega,0.2833,34.7384,5.9,37
West Pokot,Pokot Central,Chesogon,1.3048,35.6245,5.9,37
Tharaka-Nithi,Tharaka North,Ntoroni,0.0326,37.9821,5.9,37
Kakamega,Matungu,Ogalo,0.3873,34.4023,5.7,36
Kakamega,Shinyalu,Shinyalu,0.2239,34.808,5.6,35
Meru,Imenti North,Meru,0.05,37.65,5.6,35
Kericho,Ainamoi,Kericho,-0.3677,35.2831,5.4,34
Nyeri,Tetu,Kiawaithanji,-0.4875,36.984,5.4,34
Nyamira,Nyamira,Nyangoso,-0.5539,34.9393,5.4,34
Meru,Igembe North,Mutuati,0.3826,37.9855,5.3,33
Nyamira,Nyamira North,Kioge,-0.5167,34.95,5.1,32
Lamu,Lamu West,Pandanguo,-2.2347,40.4778,5.1,32
Tharaka-Nithi,Chuka,Mubukuro,-0.3295,37.621,5.1,32
Nyeri,Nyeri Central,Nyeri,-0.4167,36.95,4.9,31
Nakuru,Molo,Elburgon,-0.3,35.8167,4.9,31
Kirinyaga,Kirinyaga East,Thumaita,-0.4466,37.366,4.9,31
Bungoma,Sirisia,Komiriai,0.78,34.37,4.8,30
Busia,Butula,Marach,0.3267,34.3156,4.8,30
Samburu,Samburu North,Suiyan,1.7045,36.7254,4.6,29
Embu,Mbeere South,Kiamuringa,-0.5698,37.5318,4.6,29
Embu,Manyatta,Kiangima,-0.4871,37.4699,4.6,29
Nyeri,Kieni West,Aberdare Forest,-0.3666,36.8333,4.5,28
